coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,liquidity_score,price_change_ratio,volume_to_price,is_stable_coin
WOO Network,WOO,0.512092,0.004,0.04,0.018,49800358.0,489182316.0,2022-03-17,0.10180326714835701,0.0781109644360779,97248849.81604868,0
Polkastarter,POLS,1.47,0.018,-0.042,0.198,34461134.0,129790575.0,2022-03-17,0.2655133779937411,-0.028571428571428574,23442948.29931973,0
Flow,FLOW,5.72,0.01,0.052,-0.053,118680955.0,2031100138.0,2022-03-17,0.058431858075133465,0.00909090909090909,20748418.706293706,0
Platypus Finance,PTP,4.14,0.005,-0.135,-0.354,5248814.0,79450747.0,2022-03-17,0.06606374638617306,-0.03260869565217392,1267829.468599034,0
Xido Finance,XIDO,48.68,0.047,0.5770000000000001,1.357,1489749.0,1388958494.0,2022-03-17,0.0010725655276492374,0.011852917009038622,30602.896466721446,0
Veritaseum,VERI,77.68,-0.064,0.032,0.3279999999999999,61535.04,167034953.0,2022-03-17,0.00036839618831155656,0.0004119464469618949,792.1606591143151,0
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16,0.0001802482728419312,0.5251971540879213,1772499.3640190712,0
Medibloc,MED,0.040119247871,0.011,0.025,0.025,7724520.0,215001420.0,2022-03-16,0.03592776270966024,0.6231422902140479,192539003.34416866,0
DigitalBits,XDB,0.395059,-0.004,0.015,0.207,1567720.0,302184765.0,2022-03-17,0.00518795181484414,0.03796901222349067,3968318.6562007195,0
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,0.16376003363484767,3281.6538485267342,45288665430139.49,0
TRON,TRX,0.060963260767,0.001,0.004,0.002,431830570.0,6203344202.0,2022-03-17,0.0696125438051261,0.06561328822760804,7083455913.725567,0
Ethereum Classic,ETC,26.93,0.0279999999999999,0.031,0.01,315618129.0,3573077723.0,2022-03-16,0.08833228758735288,0.0011511325659116227,11719945.376903081,0
cETH,CETH,56.52,0.001,0.052,0.037,4709.81,3354874341.0,2022-03-17,1.403870762741036e-06,0.0009200283085633403,83.32997169143667,0
Gemini Dollar,GUSD,1.0,0.003,0.001,0.001,3181078.0,355825684.0,2022-03-16,0.008939989840643432,0.001,3181078.0,0
Audius,AUDIO,0.743362,0.001,0.01,-0.046,6575647.0,457745959.0,2022-03-17,0.014365275914975363,0.013452396006252674,8845820.744132739,0
JasmyCoin,JASMY,0.023128577628,-0.016,0.098,0.685,657631520.0,110553343.0,2022-03-17,5.9485448576620605,4.237182310829132,28433720852.93545,0
Meerkat Shares,MSHARE,14141.32,0.001,0.091,1.065,8589756.0,126105039.0,2022-03-17,0.06811588234788936,6.435042838999471e-06,607.4225036983818,0
DUSK Network,DUSK,0.32285,-0.024,-0.0069999999999999,-0.108,10733697.0,129772453.0,2022-03-17,0.0827116753352886,-0.02168189561715936,33246699.7057457,0
Crabada,CRA,0.957634,0.026,0.064,0.033,2393019.0,83266240.0,2022-03-17,0.028739366638868287,0.06683137816744185,2498886.8398573985,0
API3,API3,4.64,0.003,-0.012,-0.146,30688251.0,230330587.0,2022-03-17,0.13323567399235603,-0.0025862068965517245,6613847.198275862,0
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981.0,979304335.0,2022-03-16,0.046210334604512904,0.002952433023510115,2474247.1842536908,0
Zcash,ZEC,152.32,0.0,0.023,0.076,357248948.0,1862253242.0,2022-03-17,0.1918369317034058,0.00015099789915966387,2345384.375,0
Status,SNT,0.056745127667,0.012,0.0069999999999999,-0.034,7688360.0,219753630.0,2022-03-16,0.03498627076148867,0.1233586087087215,135489341.83597136,0
Chia,XCH,65.99,-0.003,0.015,-0.077,9082334.0,225459171.0,2022-03-17,0.04028371948551163,0.0002273071677526898,137631.9745415972,0
NEO,NEO,20.65,0.001,0.026,-0.03,131240437.0,1456710686.0,2022-03-17,0.09009368727868315,0.0012590799031476998,6355469.104116223,0
Telcoin,TEL,0.005151230174,0.011,0.051,-0.0139999999999999,2189831.0,316916231.0,2022-03-17,0.006909810182615734,9.900547690028343,425108357.81573445,0
PEAKDEFI,PEAK,0.056409521696,0.004,0.0069999999999999,-0.175,51980.14,76293156.0,2022-03-16,0.0006813211397363087,0.12409252533152167,921478.119955162,0
THORChain,RUNE,8.08,0.006,0.1159999999999999,0.4639999999999999,384542700.0,2430711865.0,2022-03-17,0.15820167973714153,0.014356435643564343,47591918.316831686,0
Tornado Cash,TORN,47.28,-0.002,-0.01,-0.044,7275467.0,111302578.0,2022-03-17,0.06536656320754763,-0.00021150592216582064,153880.43570219967,0
Radio Caca,RACA,0.001341144021,0.0279999999999999,0.0409999999999999,0.099,15540182.0,273386276.0,2022-03-16,0.056843314256199165,30.57091509786472,11587258159.204067,0
Kava Swap,SWP,1.81,-0.009,-0.013,0.02,1850449.0,107989085.0,2022-03-16,0.01713551883507486,-0.00718232044198895,1022347.5138121546,0
Aurora,AURORA,7.35,-0.001,0.072,-0.069,1298850.0,167615843.0,2022-03-17,0.007748969171130202,0.009795918367346938,176714.2857142857,0
BakerySwap,BAKE,0.548429,0.027,0.033,-0.005,11013168.0,104901896.0,2022-03-16,0.10498540464893028,0.06017187274925286,20081301.317034654,0
Origin Protocol,OGN,0.41561,-0.013,-0.043,0.488,103519781.0,197701631.0,2022-03-17,0.5236162214564634,-0.10346238059719448,249079139.09674937,0
iExec RLC,RLC,1.81,0.004,-0.001,0.01,4304190.0,129744853.0,2022-03-17,0.03317426395326834,-0.0005524861878453039,2378005.5248618782,0
WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983.0,254216018.0,2022-03-16,0.02781879385743506,-0.003583439492728305,12671011.587051598,0
USD Coin,USDC,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16,0.07415004064923623,0.0,3872761578.9589486,1
Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344.0,194331101.0,2022-03-17,0.02582882500109954,0.04114654857607226,25816085.214502104,0
UMA,UMA,7.69,-0.003,-0.006,-0.046,62505441.0,503852158.0,2022-03-17,0.12405512213763308,-0.0007802340702210663,8128145.773732119,0
Verasity,VRA,0.020213148673,0.008,-0.03,-0.113,55707710.0,90445041.0,2022-03-17,0.615928848990184,-1.4841824242886477,2756013469.312298,0
Bitkub Coin,KUB,7.93,-0.002,0.004,-0.045,2877708.0,703620569.0,2022-03-17,0.004089857697153251,0.0005044136191677175,362888.77679697354,0
Euro Tether,EURT,1.11,-0.0,0.006,0.003,14717552.0,228389194.0,2022-03-17,0.0644406670133439,0.005405405405405405,13259055.855855854,0
Waves,WAVES,28.78,0.003,0.0069999999999999,0.008,728914468.0,2875764773.0,2022-03-17,0.2534680426033579,0.0002432244614315462,25327118.415566366,0
Zipmex Token,ZMT,2.84,-0.002,0.018,0.003,14507743.0,252612673.0,2022-03-17,0.05743078060062331,0.006338028169014085,5108360.211267605,0
Nervos Network,CKB,0.010823610593,0.002,0.026,-0.025,5885924.0,326436851.0,2022-03-17,0.0180308196883078,2.402155895816789,543804116.8819052,0
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,2022-03-16,0.1272995785598512,0.049247082462129,157921875.8354416,0
Bifrost,BFC,0.149851,-0.0,0.005,-0.026,1897563.0,159291451.0,2022-03-17,0.011912522537069488,0.033366477367518396,12662998.578588063,0
Creditcoin,CTC,1.17,-0.001,0.032,0.02,3120629.0,242723178.0,2022-03-17,0.01285674085892201,0.027350427350427354,2667204.2735042735,0
Bitcoin SV,BSV,78.09,0.002,0.013,-0.065,82946701.0,1484128146.0,2022-03-17,0.055889177240898445,0.00016647458061211422,1062193.6355487257,0
Hermez Network,HEZ,6.09,0.009,0.003,0.0139999999999999,105821.0,102164945.0,2022-03-16,0.001035785806961478,0.0004926108374384237,17376.190476190477,0
Tether,USDT,1.0,-0.0,0.0,0.0,44131404071.0,80205879149.0,2022-03-17,0.5502265487174106,0.0,44131404071.0,1
Waves,WAVES,28.62,0.0139999999999999,0.081,0.273,1508088374.0,2862185867.0,2022-03-16,0.5269009226087412,0.002830188679245283,52693514.11600279,0
Hedera,HBAR,0.200008,0.012,-0.0069999999999999,-0.024,65559083.0,3922919996.0,2022-03-16,0.01671180729325279,-0.03499860005599726,327782303.7078517,0
MiL.k Alliance,MLK,0.814028,-0.001,-0.0,-0.004,9464173.0,181018689.0,2022-03-17,0.052282850197859956,-0.0,11626348.23372169,0
MaidSafeCoin,MAID,0.295224,0.001,0.001,-0.067,7810.13,133599281.0,2022-03-17,5.8459371499162484e-05,0.003387258488469772,26454.929138552423,0
Nano,XNO,2.2,-0.006,0.288,0.312,109830513.0,292516870.0,2022-03-16,0.37546727817783637,0.1309090909090909,49922960.45454545,0
ICON,ICX,0.753601,0.026,-0.013,0.21,45059623.0,549632622.0,2022-03-16,0.08198134753362583,-0.017250507894761288,59792414.02280518,0
LEO Token,LEO,5.97,0.0069999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16,0.00014990865228717583,0.0016750418760469012,139308.71021775546,0
Hoo Token,HOO,1.39,-0.004,0.035,0.059,8832185.0,114432549.0,2022-03-17,0.0771824544430973,0.025179856115107917,6354089.928057554,0
Lido Staked SOL,STSOL,87.91,0.024,0.013,0.04,4624558.0,233265607.0,2022-03-16,0.019825288689043645,0.0001478785121146627,52605.59663292003,0
ChainX,PCX,1.77,0.054,0.172,0.078,445046.0,68530128.0,2022-03-16,0.0064941656026091185,0.09717514124293784,251438.41807909604,0
Interest Bearing Bitcoin,IBBTC,40853.81,,,,,189800862.0,2022-03-17,,,,0
Beefy.Finance,BIFI,1455.73,0.012,0.047,-0.059,1429792.0,112999254.0,2022-03-16,0.01265311008159399,3.228620692023933e-05,982.1821354234645,0
Ergo,ERG,3.26,0.006,0.004,0.0819999999999999,945449.0,168320273.0,2022-03-16,0.005616964511458462,0.001226993865030675,290015.03067484667,0
sETH,SETH,2732.47,0.025,0.034,0.065,5049393.0,95094991.0,2022-03-16,0.053098411881652104,1.2442954542959302e-05,1847.9225755452028,0
NuCypher,NU,0.423049,0.004,0.008,-0.107,4447816.0,358798163.0,2022-03-17,0.012396429131104553,0.018910338991464347,10513713.541457372,0
Hathor,HTR,0.479597,0.052,0.047,0.025,3389005.0,108345431.0,2022-03-16,0.03127963005657341,0.09799894494752887,7066359.881317022,0
Frax Share,FXS,17.71,0.002,-0.01,-0.012,3134769.0,1023317870.0,2022-03-17,0.003063338471749741,-0.000564652738565782,177005.5900621118,0
SuperRare,RARE,0.458127,0.018,0.0289999999999999,0.0289999999999999,16421385.0,66264262.0,2022-03-16,0.24781661342580108,0.06330122433299042,35844612.95666922,0
Kava,KAVA,3.16,0.023,0.035,0.034,22753924.0,504959645.0,2022-03-16,0.045060876102287345,0.011075949367088608,7200608.860759493,0
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16,0.1536317589575854,0.0004364173492681617,1858639.0962803813,0
DeFi Pulse Index,DPI,155.37,0.0289999999999999,0.042,0.054,207236.0,72755648.0,2022-03-16,0.002848383674625508,0.0002703224560726009,1333.8224882538457,0
Velas,VLX,0.213294,0.002,0.001,-0.049,3415563.0,485455669.0,2022-03-17,0.007035787648820309,0.004688364417189419,16013404.033868743,0
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838.0,574825195.0,2022-03-16,0.1856039695685225,0.00389294403892944,25958598.053527977,0
Sifchain,EROWAN,0.092998915614,0.005,0.026,-0.031,2618246.0,72370847.0,2022-03-17,0.036178186500981535,0.27957315231411123,28153511.067454327,0
Litecoin,LTC,110.64,-0.002,0.011,0.037,541046078.0,7733039423.0,2022-03-17,0.06996551399838893,9.942154736080983e-05,4890148.933477947,0
Sperax,SPA,0.170244,-0.004,0.026,-0.026,911737.0,133654459.0,2022-03-17,0.006821598073282389,0.15272197551749253,5355472.1458612345,0
Rai Reflex Index,RAI,3.04,0.003,0.003,0.002,1057135.0,77616933.0,2022-03-17,0.01361990172943319,0.000986842105263158,347741.7763157895,0
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,2022-03-16,0.006575499473767057,0.002503259452411995,299643.49413298565,0
FEG Token,FEG,3.712e-09,-0.012,0.005,0.001,596220.0,152507971.0,2022-03-17,0.003909435002580947,1346982.7586206896,160619612068965.53,0
Shiba Inu,SHIB,2.241815e-05,0.024,0.0279999999999999,-0.021,546344871.0,12186102832.0,2022-03-16,0.0448334367871351,1248.9879851816452,24370649273022.082,0
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039.0,436965500.0,2022-03-16,0.08903457824473557,6.148380926356059e-05,265781.1108074874,0
cETH,CETH,53.71,-0.001,0.009,0.04,1088.54,3191011869.0,2022-03-16,3.411269041569334e-07,0.0001675665611617948,20.266989387451126,0
ThunderCore,TT,0.007869637878,0.006,-0.003,0.018,13601229.0,67862398.0,2022-03-16,0.20042364255975748,-0.38121194983909784,1728317009.099361,0
TitanSwap,TITAN,1.13,0.0,-0.002,-0.072,24704.16,112504097.0,2022-03-16,0.00021958453655247773,-0.001769911504424779,21862.088495575223,0
HUSD,HUSD,0.999103,0.0,0.001,0.0,43235094.0,310668205.0,2022-03-16,0.13916806838987594,0.0010008978053313823,43273910.69789601,0
LUKSO Token,LYXE,13.11,-0.002,0.0069999999999999,-0.051,2438281.0,199459617.0,2022-03-17,0.01222443438262493,0.0005339435545385126,185986.34630053394,0
WINkLink,WIN,0.00026633365,0.011,0.02,-0.009,126343198.0,255157055.0,2022-03-16,0.4951585524452773,75.09377804869945,474379403428.7443,0
Rari Governance Token,RGT,15.15,-0.0,0.016,-0.064,109283.0,170001175.0,2022-03-17,0.0006428367333343432,0.001056105610561056,7213.399339933993,0
cUSDC,CUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16,1.707946199933153e-08,0.04437934037815136,1856.3878080180714,0
agEUR,AGEUR,1.11,0.003,0.011,0.005,2130541.0,115865259.0,2022-03-17,0.018388091636682917,0.00990990990990991,1919406.306306306,0
flexUSD,FLEXUSD,1.01,0.001,0.0,0.004,179309.0,132954034.0,2022-03-16,0.0013486540769421106,0.0,177533.66336633664,0
Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820.0,218062741.0,2022-03-17,0.04089107547263198,0.4083337200129924,82750870.02923298,0
Zenon,ZNN,5.21,0.0069999999999999,-0.026,-0.114,38130.88,257245207.0,2022-03-17,0.00014822775687323107,-0.0049904030710172746,7318.786948176583,0
Lido Staked SOL,STSOL,93.27,0.0139999999999999,0.064,0.0279999999999999,4306699.0,252733440.0,2022-03-17,0.017040479487004174,0.000686179907794575,46174.53629248419,0
sBTC,SBTC,40609.35,0.02,0.026,0.054,1195100.0,162541982.0,2022-03-16,0.0073525619984134314,6.402466427066673e-07,29.429183180720695,0
PlayDapp,PLA,0.812543,0.002,0.016,-0.0279999999999999,21899896.0,295009942.0,2022-03-17,0.07423443376698131,0.019691265569945222,26952291.755636316,0
Vulcan Forged,PYR,8.73,0.027,0.039,-0.044,38526780.0,207895650.0,2022-03-16,0.18531787461642416,0.004467353951890034,4413147.7663230235,0
Mirror Protocol,MIR,1.71,0.005,0.004,-0.1689999999999999,49984848.0,248849118.0,2022-03-17,0.20086407539527626,0.0023391812865497076,29230905.263157897,0
Propy,PRO,1.31,0.021,-0.039,-0.1889999999999999,1379488.0,76264908.0,2022-03-16,0.018088109409376066,-0.029770992366412213,1053044.2748091603,0
Nerve Finance,NRV,0.01746492327,0.001,-0.0279999999999999,-0.087,37129.53,77747624.0,2022-03-16,0.0004775648192155686,-1.6032134563165419,2125948.6472396054,0
Circuits of Value,COVAL,0.037961003776,0.002,-0.012,-0.054,366787.0,67826274.0,2022-03-17,0.005407742138393155,-0.31611387493358994,9662204.987105554,0
Akash Network,AKT,1.14,0.013,0.039,0.005,1488453.0,150977820.0,2022-03-17,0.009858752762491868,0.034210526315789476,1305660.5263157897,0
Decentral Games,DG,0.322954,-0.01,0.059,0.008,1307545.0,124818085.0,2022-03-17,0.01047560535798959,0.1826885562649789,4048703.53053376,0
Interest Bearing Bitcoin,IBBTC,40647.97,0.019,0.023,0.052,3253.9,187618251.0,2022-03-16,1.7343195465562677e-05,5.658339149531945e-07,0.0800507380811391,0
Tenset,10SET,3.3,0.016,0.03,0.434,3059468.0,289328276.0,2022-03-16,0.010574382989099898,0.00909090909090909,927111.5151515153,0
SwissBorg,CHSB,0.428284,0.022,0.026,-0.054,1063375.0,403883855.0,2022-03-16,0.0026328732551094422,0.06070738108358005,2482873.513836613,0
EOS,EOS,2.09,0.006,0.012,0.009,228300347.0,2061422334.0,2022-03-17,0.11074894418020796,0.005741626794258374,109234615.7894737,0
VVS Finance,VVS,2.2036915e-05,-0.0,-0.013,-0.129,2778953.0,236041817.0,2022-03-17,0.011773138485881084,-589.9192332502076,126104447922.9511,0
